Date,Time,Temperature (dht11),humidity air (dht11),humidity soil1 (capacitive soil moisture),humidity soil2 (direct metal electrode)
Sun Oct 20 2019,14:09:22,32,93,238,37
Sun Oct 20 2019,14:19:27,32,95,377,454
Sun Oct 20 2019,14:29:29,32,95,368,796
Sun Oct 20 2019,15:10:27,32,95,351,774
Sun Oct 20 2019,15:20:32,32,95,349,747
Sun Oct 20 2019,15:30:41,32,95,345,742
Sun Oct 20 2019,15:40:43,32,95,341,738
Sun Oct 20 2019,15:50:50,32,95,338,737
Sun Oct 20 2019,16:01:01,32,95,336,733
Sun Oct 20 2019,16:11:09,32,95,336,729
Sun Oct 20 2019,16:31:39,31,95,331,727
Sun Oct 20 2019,16:41:44,31,95,330,724
Sun Oct 20 2019,16:51:50,31,95,329,721
Sun Oct 20 2019,17:01:57,31,95,328,720
Sun Oct 20 2019,17:12:00,31,95,328,717
Sun Oct 20 2019,17:22:07,31,95,327,716
Sun Oct 20 2019,17:32:13,30,95,326,714
Sun Oct 20 2019,17:42:17,30,95,326,713
Sun Oct 20 2019,17:52:24,30,95,322,711
Sun Oct 20 2019,18:02:31,30,95,324,711
Sun Oct 20 2019,18:12:38,30,95,325,710
Sun Oct 20 2019,18:22:42,30,95,324,708
Sun Oct 20 2019,18:32:45,30,95,325,708
Sun Oct 20 2019,18:42:51,30,95,325,706
Sun Oct 20 2019,18:53:03,30,95,322,705
Sun Oct 20 2019,19:13:27,29,95,321,705
Sun Oct 20 2019,19:23:34,29,95,322,705
Sun Oct 20 2019,19:33:41,29,95,320,704
Sun Oct 20 2019,19:43:53,29,95,319,704
Sun Oct 20 2019,20:14:22,29,95,318,703
Sun Oct 20 2019,20:44:38,29,95,318,701
Sun Oct 20 2019,20:54:38,29,95,317,699
Sun Oct 20 2019,21:04:42,29,95,317,699
Sun Oct 20 2019,21:25:01,29,95,316,698
Sun Oct 20 2019,21:35:05,29,95,315,697
Sun Oct 20 2019,21:45:08,29,95,315,694
Sun Oct 20 2019,23:47:09,28,95,336,694
Mon Oct 21 2019,0:18:00,28,95,328,694
Mon Oct 21 2019,0:28:04,28,95,321,698
Mon Oct 21 2019,0:38:09,28,95,321,699
Mon Oct 21 2019,0:58:22,28,95,319,700
Mon Oct 21 2019,1:08:29,28,95,320,701
Mon Oct 21 2019,1:18:31,28,95,320,701
Mon Oct 21 2019,1:28:42,28,95,317,701
Mon Oct 21 2019,1:38:49,28,95,320,700
Mon Oct 21 2019,1:48:55,28,95,320,700
Mon Oct 21 2019,1:59:01,28,95,320,700
Mon Oct 21 2019,2:09:08,27,95,320,700
Mon Oct 21 2019,2:19:12,27,95,320,700
Mon Oct 21 2019,2:29:19,27,95,320,699
Mon Oct 21 2019,2:39:30,27,95,316,698
Mon Oct 21 2019,3:51:38,27,95,306,693
Mon Oct 21 2019,6:36:43,27,95,326,686
Mon Oct 21 2019,6:46:50,27,95,327,681
Mon Oct 21 2019,6:56:55,27,95,328,680
Mon Oct 21 2019,7:07:01,27,95,328,680
Mon Oct 21 2019,7:27:17,27,95,320,680
Mon Oct 21 2019,7:37:24,27,95,327,675
Mon Oct 21 2019,7:57:45,27,95,325,679
Mon Oct 21 2019,8:07:52,27,95,327,676
Mon Oct 21 2019,8:27:49,27,95,316,676
Mon Oct 21 2019,8:37:54,28,95,321,674
Mon Oct 21 2019,8:48:01,28,95,321,674
Mon Oct 21 2019,8:58:08,28,95,321,673
Mon Oct 21 2019,9:08:20,28,95,315,673
Mon Oct 21 2019,9:18:27,28,95,319,672
Mon Oct 21 2019,9:28:39,28,95,312,670
Mon Oct 21 2019,9:38:51,28,95,310,668
Mon Oct 21 2019,9:49:03,28,95,310,665
Mon Oct 21 2019,9:59:16,28,95,309,664
Mon Oct 21 2019,10:09:28,28,95,308,663
Mon Oct 21 2019,10:19:41,29,95,307,662
Mon Oct 21 2019,10:29:52,29,95,307,660
Mon Oct 21 2019,10:40:05,29,95,306,656
Mon Oct 21 2019,10:50:21,30,95,305,653
Mon Oct 21 2019,11:00:36,31,95,303,650
Mon Oct 21 2019,11:10:49,32,95,302,646
Mon Oct 21 2019,11:21:02,32,95,302,644
Mon Oct 21 2019,11:31:15,33,95,302,640
Mon Oct 21 2019,11:41:23,33,95,308,636
Mon Oct 21 2019,11:51:30,34,95,306,632
Mon Oct 21 2019,12:01:42,34,95,305,625
Mon Oct 21 2019,12:11:50,34,95,312,627
Mon Oct 21 2019,12:21:57,34,95,312,624
Mon Oct 21 2019,12:32:04,34,95,313,619
Mon Oct 21 2019,12:42:10,34,95,313,614
Mon Oct 21 2019,12:52:22,34,95,308,609
Mon Oct 21 2019,13:02:33,33,95,306,602
Mon Oct 21 2019,13:12:43,33,95,301,597
Mon Oct 21 2019,13:22:54,32,95,298,594
Mon Oct 21 2019,13:33:00,32,95,303,589
Mon Oct 21 2019,13:43:01,32,95,304,585
Mon Oct 21 2019,13:53:10,32,95,295,583
Mon Oct 21 2019,14:03:17,32,95,300,580
Mon Oct 21 2019,14:13:23,32,95,300,576
Mon Oct 21 2019,14:23:30,31,95,298,573
Mon Oct 21 2019,14:33:34,31,95,298,569
Mon Oct 21 2019,14:43:41,31,95,297,567
Mon Oct 21 2019,14:53:45,31,95,296,565
Mon Oct 21 2019,15:03:50,31,95,294,560
Mon Oct 21 2019,15:14:00,31,95,286,558
Mon Oct 21 2019,15:24:06,31,95,289,555
Mon Oct 21 2019,15:34:12,31,95,289,553
Mon Oct 21 2019,15:44:19,31,95,289,550
Mon Oct 21 2019,15:54:25,31,95,289,548
Mon Oct 21 2019,16:04:31,31,95,288,545
Mon Oct 21 2019,16:14:38,31,95,286,543
Mon Oct 21 2019,16:24:49,31,95,280,542
Mon Oct 21 2019,16:34:57,30,95,282,538
Mon Oct 21 2019,16:45:09,30,95,276,535
Mon Oct 21 2019,16:55:21,30,95,274,533
Mon Oct 21 2019,17:05:30,30,95,272,532
Mon Oct 21 2019,17:15:40,30,95,272,531
Mon Oct 21 2019,17:25:47,30,95,278,528
Mon Oct 21 2019,17:35:53,30,95,281,525
Mon Oct 21 2019,17:56:09,30,95,276,525
Mon Oct 21 2019,18:06:15,29,95,282,518
Mon Oct 21 2019,18:16:22,29,95,281,522
Mon Oct 21 2019,18:26:29,29,95,280,521
Mon Oct 21 2019,18:36:36,29,95,280,520
Mon Oct 21 2019,18:46:48,29,95,269,520
Mon Oct 21 2019,19:07:04,29,95,273,512
Mon Oct 21 2019,19:17:08,29,95,276,516
Mon Oct 21 2019,19:27:15,29,95,277,514
Mon Oct 21 2019,19:37:27,29,95,273,514
Mon Oct 21 2019,19:47:34,29,95,277,513
Mon Oct 21 2019,20:08:02,29,95,271,513
Mon Oct 21 2019,20:18:10,29,95,272,512
Mon Oct 21 2019,20:38:32,29,95,274,511
Mon Oct 21 2019,20:48:40,29,95,272,508
Mon Oct 21 2019,20:58:52,28,95,272,508
Mon Oct 21 2019,21:08:54,28,95,274,507
Mon Oct 21 2019,21:19:06,28,95,274,506
Mon Oct 21 2019,21:29:18,28,95,274,506
Mon Oct 21 2019,21:39:30,28,95,266,506
Mon Oct 21 2019,21:49:43,28,95,273,500
Mon Oct 21 2019,21:59:55,28,95,270,505
Mon Oct 21 2019,22:10:07,28,95,267,504
Mon Oct 21 2019,22:20:19,28,95,276,504
Mon Oct 21 2019,22:30:31,28,95,267,504
Mon Oct 21 2019,22:40:43,28,95,258,502
Mon Oct 21 2019,22:50:55,28,95,264,496
Mon Oct 21 2019,23:01:05,28,95,268,501
Mon Oct 21 2019,23:11:17,28,95,268,495
Mon Oct 21 2019,23:21:29,28,95,266,500
Mon Oct 21 2019,23:31:41,28,95,267,499
Mon Oct 21 2019,23:41:48,28,95,272,498
Mon Oct 21 2019,23:52:00,28,95,273,496
Tue Oct 22 2019,0:02:13,28,95,272,496
Tue Oct 22 2019,0:22:30,28,95,307,496
Tue Oct 22 2019,0:32:35,27,95,306,626
Tue Oct 22 2019,0:42:43,27,95,306,619
Tue Oct 22 2019,0:52:49,27,95,301,613
Tue Oct 22 2019,1:02:56,27,95,298,608
Tue Oct 22 2019,1:12:59,27,95,297,607
Tue Oct 22 2019,1:23:06,27,95,295,602
Tue Oct 22 2019,1:33:09,27,95,292,598
Tue Oct 22 2019,1:43:21,27,95,291,595
Tue Oct 22 2019,1:53:27,27,95,291,589
Tue Oct 22 2019,2:03:34,27,95,292,588
Tue Oct 22 2019,2:13:41,27,95,291,586
Tue Oct 22 2019,2:23:47,27,95,290,584
Tue Oct 22 2019,2:33:53,27,95,290,581
Tue Oct 22 2019,2:44:00,27,95,290,579
Tue Oct 22 2019,4:20:14,27,95,288,576
Tue Oct 22 2019,4:40:36,27,95,289,570
Tue Oct 22 2019,6:03:53,27,95,283,568
Tue Oct 22 2019,6:14:05,27,95,278,558
Tue Oct 22 2019,6:24:12,27,95,289,554
Tue Oct 22 2019,6:34:18,27,95,290,558
Tue Oct 22 2019,6:44:25,27,95,283,557
Tue Oct 22 2019,6:54:32,27,95,292,552
Tue Oct 22 2019,7:04:38,27,95,292,556
Tue Oct 22 2019,7:14:45,27,95,293,556
Tue Oct 22 2019,7:24:51,27,95,293,555
Tue Oct 22 2019,7:34:58,27,95,293,554
Tue Oct 22 2019,7:45:05,27,95,293,554
Tue Oct 22 2019,7:55:12,27,95,293,554
Tue Oct 22 2019,8:05:19,27,95,293,554
Tue Oct 22 2019,8:15:25,27,95,293,553
Tue Oct 22 2019,8:25:30,27,95,293,552
Tue Oct 22 2019,8:35:38,27,95,294,552
Tue Oct 22 2019,8:45:43,27,95,293,552
Tue Oct 22 2019,8:55:48,27,95,293,552
Tue Oct 22 2019,9:05:55,27,95,293,552
Tue Oct 22 2019,9:16:00,28,95,293,550
Tue Oct 22 2019,9:26:05,28,95,292,549
Tue Oct 22 2019,9:36:11,28,95,291,549
Tue Oct 22 2019,9:46:16,28,95,291,548
Tue Oct 22 2019,9:56:22,28,95,291,546
Tue Oct 22 2019,10:06:28,28,95,291,546
Tue Oct 22 2019,10:16:39,28,95,286,545
Tue Oct 22 2019,10:26:47,29,95,288,544
